English,Burak,Loo of Galdemaru,Maɣdi (Tala),Leemak of Panya,Leemak of Zoo,Kyak (Bambuka),Moo (Gomu),Leelau (Munga Leelau),Jen of Kaigamma,Munga Doso,Jòòlè,Jòòle of Joole Manga
I,mɪ,mɪ̀,mî,mə,mə̂,gbâŋ,gbâŋ,gbáŋ,mi,mî,mì,mì
you,mɔ̀,mɔ,mô,mwộ,mwộ,ma,mâ,mʌ,mʌ,mʌ̂,ma,má
he,ná,ná,ná,nʌ́,,úú,,úù,wʌ,,,ná
we (i),ɓo,ɓə́,ɓî,ɓí,ɓí,ɓi,ɓî,ɓi,bə,ɓî, bə,bə,kóbi ?
you,ya,yé,yá,yʌ́,,ɓáá,,ɓʌ,ba,,ba,bá
they,ní,nɪ́,nírè,ní,,íí,,íì,le, ʔe,,èè,yḭ
1,kwîn,kwín,cwín,kwín,kwin,kwín,,kún,tsə́ŋ,tsə̂ŋ,,
2,ráp,râp,lááp,raap,raap,raap; ràp,,raàp; raap,buoŋ,néʔyù,,
3,gbúnúŋ,búnúŋ,táát,táát,táát,tɛɛ,,tayi,bwáátʌ̀,nátaà,,
4,nèt,nèt,néét,néèt,nèèt,nɛɛ,,náì,bwáányà,nényà,,
5,nʊʊ̀p,nó(w)òp,noòb,nuóp,nuwop,ninyúŋ,,núú,bwááhmə̀,nɛ́hnwǜ,,
6,nááshîn,níshin,nááshîn,naasìn,naasən,naarə̀ŋ kwín,,nanəkún,hnwitsúŋ,hwí tsùŋ,,
7,náárɛ̀,náárà,náálệ,naará,naarâ,naarɛ̀,,nanə írà,hnwiʔyúŋ,hwí ʔyú,,
8,nátát,nátát,gónogònò,gaŋna,gɔŋnà,gun nệ,,gunáì,hnwitáa,ka̰ya̰ká̰yà̰,,
9,níínít,nììnììt,láácòŋ,laasaŋ,laasòŋ,sóŋ suəp,,soŋ suəp,hnwinyáá,hywáŋ hywà, xwáŋ xǜa,,
10,shʊ́ʊ́p,shóó̀p,cuòp,suop,suə̀p,suə̀p,,suəp,bwááhywà,hýwà, xǘà,,
